# t,Source,R,A,B,C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.858772478602012779e-01,0.000000000000000000e+00,2.252219331107972344e+00
1.000000000000000021e-02,0.000000000000000000e+00,-2.520708446205375901e-04,8.867041519416837270e-01,0.000000000000000000e+00,1.359461807507801323e+00
2.000000000000000042e-02,0.000000000000000000e+00,-1.012774911007874312e-03,8.870340494196070624e-01,0.000000000000000000e+00,1.381540095003653601e+00
2.999999999999999889e-02,0.000000000000000000e+00,-1.145870376231748668e-03,8.853935582338572363e-01,0.000000000000000000e+00,1.337439401369467928e+00
4.000000000000000083e-02,0.000000000000000000e+00,-5.951400268086621398e-04,8.839098019927589256e-01,0.000000000000000000e+00,1.289226615664110565e+00
5.000000000000000278e-02,0.000000000000000000e+00,-8.522528092086880790e-04,8.841883212386985047e-01,0.000000000000000000e+00,1.365410179513782740e+00
5.999999999999999778e-02,0.000000000000000000e+00,-1.212090352754638303e-03,8.857264001321306646e-01,0.000000000000000000e+00,1.324671864944203969e+00
7.000000000000000666e-02,0.000000000000000000e+00,-2.033725056743366632e-03,8.842909587225408208e-01,0.000000000000000000e+00,1.472254845840248239e+00
8.000000000000000167e-02,0.000000000000000000e+00,-1.638637757766321992e-03,8.840496284344634415e-01,0.000000000000000000e+00,1.151253250461973909e+00
8.999999999999999667e-02,0.000000000000000000e+00,-1.438557724902714708e-03,8.850171321347974907e-01,0.000000000000000000e+00,1.306767525332119817e+00
1.000000000000000056e-01,0.000000000000000000e+00,-7.379614239194373995e-04,8.854110894585169866e-01,0.000000000000000000e+00,1.446497157957233215e+00
1.100000000000000006e-01,0.000000000000000000e+00,-1.133544625316812871e-03,8.859430928518020609e-01,0.000000000000000000e+00,1.268242829816394579e+00
1.199999999999999956e-01,0.000000000000000000e+00,-1.623627181383367627e-03,8.865275343105659678e-01,1.593039894544678002e-03,1.288811415415134887e+00
1.300000000000000044e-01,0.000000000000000000e+00,-1.480328091808967052e-03,8.855470972423568066e-01,1.828240738538989066e-02,1.417114543667696847e+00
1.400000000000000133e-01,0.000000000000000000e+00,-7.543274218127432118e-04,8.870422734398030196e-01,2.915196764235847976e-02,1.265936346525909251e+00
1.499999999999999944e-01,0.000000000000000000e+00,-1.199917507773753380e-03,8.868897997938641753e-01,3.898584674378483689e-03,1.402269090962491971e+00
1.600000000000000033e-01,0.000000000000000000e+00,-1.908704797618719119e-03,8.861730933158624701e-01,0.000000000000000000e+00,1.411449002600894120e+00
1.700000000000000122e-01,0.000000000000000000e+00,-1.697080272540504387e-03,8.857511871084060573e-01,0.000000000000000000e+00,1.521057064028272343e+00
1.799999999999999933e-01,0.000000000000000000e+00,-2.104365235480830550e-03,8.865465360731328293e-01,0.000000000000000000e+00,1.339615956827935328e+00
1.900000000000000022e-01,0.000000000000000000e+00,-1.675740484365921719e-03,8.871346293137536421e-01,7.618826871708433285e-03,1.382787454132117677e+00
2.000000000000000111e-01,0.000000000000000000e+00,-1.843790806043447365e-03,8.886737547966365725e-01,4.508994143851997871e-02,1.370864903241195476e+00
2.099999999999999922e-01,0.000000000000000000e+00,-1.056661955601586548e-03,8.884898115666030050e-01,4.492628144331552859e-02,1.334843236446525250e+00
2.200000000000000011e-01,0.000000000000000000e+00,-1.242023107333214450e-03,8.903304829905821505e-01,3.042169783235619540e-02,1.333833329194739070e+00
2.300000000000000100e-01,0.000000000000000000e+00,-1.490180462820158303e-03,8.914982385356262640e-01,6.444249464693189294e-03,1.438045552736892940e+00
2.399999999999999911e-01,0.000000000000000000e+00,-1.569551201738150249e-03,8.933382641364902010e-01,0.000000000000000000e+00,1.355574669055206183e+00
