# t,Source,R,A,B,C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.101800258373451635e-01,1.642325102703014877e-02,9.320299099116253316e+00
1.000000000000000021e-02,0.000000000000000000e+00,-9.061943277616933332e-05,8.101433712292027689e-01,3.632521427785827955e-02,9.121483149875233565e+00
2.000000000000000042e-02,0.000000000000000000e+00,-3.266540795569921858e-04,8.111435221117820893e-01,3.128403733945336190e-02,9.283702207302440002e+00
2.999999999999999889e-02,0.000000000000000000e+00,1.825737072294264995e-04,8.126454700859822022e-01,1.853093789372546249e-02,9.359701545441074799e+00
4.000000000000000083e-02,0.000000000000000000e+00,4.066787494217789182e-04,8.125625946628549645e-01,8.862501216686025952e-04,9.100174040908203921e+00
5.000000000000000278e-02,0.000000000000000000e+00,4.705710196516227004e-04,8.117346308635015051e-01,0.000000000000000000e+00,9.088934938714933409e+00
5.999999999999999778e-02,0.000000000000000000e+00,4.371149838196111215e-04,8.137473164695558925e-01,0.000000000000000000e+00,9.170194423977138243e+00
7.000000000000000666e-02,0.000000000000000000e+00,-3.825627450225211343e-05,8.127098497323672621e-01,0.000000000000000000e+00,9.404232175209054745e+00
8.000000000000000167e-02,0.000000000000000000e+00,-7.107476757230423705e-05,8.141534080837570242e-01,0.000000000000000000e+00,9.132239713799181757e+00
8.999999999999999667e-02,0.000000000000000000e+00,-1.941824404392640990e-04,8.162345639169599210e-01,0.000000000000000000e+00,9.157492920389559643e+00
1.000000000000000056e-01,0.000000000000000000e+00,-5.769426329047663490e-04,8.152641648288612153e-01,0.000000000000000000e+00,9.079720917165767347e+00
1.100000000000000006e-01,0.000000000000000000e+00,-7.125153267395164559e-04,8.157911478179954434e-01,0.000000000000000000e+00,9.243216915872016770e+00
1.199999999999999956e-01,0.000000000000000000e+00,-4.327770002037693137e-04,8.153297618629593568e-01,0.000000000000000000e+00,9.075548408982420767e+00
1.300000000000000044e-01,0.000000000000000000e+00,-6.578835556344656867e-04,8.149980687951232650e-01,0.000000000000000000e+00,9.028452854234179981e+00
1.400000000000000133e-01,0.000000000000000000e+00,-8.741655276659420718e-04,8.151982558709469640e-01,4.007072527767097797e-02,9.330444206939212393e+00
1.499999999999999944e-01,0.000000000000000000e+00,-8.903819352860372965e-04,8.148514314756682975e-01,6.627856405736776146e-02,9.284906405012884889e+00
1.600000000000000033e-01,0.000000000000000000e+00,-1.011647114207360650e-03,8.156366165144841585e-01,6.706438899816474786e-02,9.131984685800885515e+00
1.700000000000000122e-01,0.000000000000000000e+00,-1.317583037610691246e-03,8.158653086054932224e-01,2.454315387665550324e-02,9.078215459891222139e+00
1.799999999999999933e-01,0.000000000000000000e+00,-1.426890761977513307e-03,8.141522910789901202e-01,0.000000000000000000e+00,9.106249415171038919e+00
1.900000000000000022e-01,0.000000000000000000e+00,-2.503029633048273021e-03,8.139735247371919780e-01,0.000000000000000000e+00,9.227457331906615323e+00
2.000000000000000111e-01,0.000000000000000000e+00,-2.113771251557439342e-03,8.158168705991653002e-01,0.000000000000000000e+00,9.067212069008661501e+00
2.099999999999999922e-01,0.000000000000000000e+00,-2.668149442366238126e-03,8.156305308851364844e-01,0.000000000000000000e+00,9.259632486081786240e+00
2.200000000000000011e-01,0.000000000000000000e+00,-3.116121749425136440e-03,8.155513982589107647e-01,0.000000000000000000e+00,9.057012903877883048e+00
2.300000000000000100e-01,0.000000000000000000e+00,-3.283612048276223286e-03,8.138557835329962575e-01,0.000000000000000000e+00,9.292090999441709798e+00
2.399999999999999911e-01,0.000000000000000000e+00,-3.369316609117028755e-03,8.148473133176946659e-01,3.949935189205380434e-03,9.087816158140091360e+00
2.500000000000000000e-01,0.000000000000000000e+00,-3.704791392278384936e-03,8.150469091107429565e-01,2.849121151552430620e-02,9.263003670597539596e+00
2.600000000000000089e-01,0.000000000000000000e+00,-3.502678592925836422e-03,8.154754846394385304e-01,2.499734973584080006e-02,9.141593261045175112e+00
2.700000000000000178e-01,0.000000000000000000e+00,-3.968802054225188149e-03,8.150666943225582939e-01,1.976983452405835229e-02,9.242116549309006501e+00
2.800000000000000266e-01,0.000000000000000000e+00,-3.592981297775511146e-03,8.152907137728828690e-01,2.891553208567454805e-03,9.185413388043878413e+00
2.899999999999999800e-01,0.000000000000000000e+00,-3.138168931075344635e-03,8.170703281227696957e-01,0.000000000000000000e+00,9.195792417554482512e+00
2.999999999999999889e-01,0.000000000000000000e+00,-3.989434870483827417e-03,8.174021646612438241e-01,8.644157846838484288e-03,9.418100766518989531e+00
3.099999999999999978e-01,0.000000000000000000e+00,-3.588884066027421896e-03,8.183993704755974097e-01,9.726284318361130832e-03,9.208261435568086739e+00
3.200000000000000067e-01,0.000000000000000000e+00,-3.701711076953744049e-03,8.193046819838819550e-01,3.209576174964513112e-02,8.995301488094680664e+00
3.300000000000000155e-01,0.000000000000000000e+00,-2.750576861470857993e-03,8.209654997443767144e-01,4.346168862068494620e-02,9.227670051037557997e+00
3.400000000000000244e-01,0.000000000000000000e+00,-3.704594364862447836e-03,8.224905028510840488e-01,4.040421673841389227e-02,9.286659933125033461e+00
3.500000000000000333e-01,0.000000000000000000e+00,-4.178819923691646891e-03,8.222286194456133179e-01,4.026571519391486387e-02,9.269358144181360615e+00
3.599999999999999867e-01,0.000000000000000000e+00,-4.808165085473337270e-03,8.219623382876140028e-01,6.638719032971307499e-03,9.303267374680384449e+00
3.699999999999999956e-01,0.000000000000000000e+00,-4.966001663377649089e-03,8.220455235065825539e-01,0.000000000000000000e+00,9.065429373794342993e+00
3.800000000000000044e-01,0.000000000000000000e+00,-4.526291672664814469e-03,8.228601271353191970e-01,0.000000000000000000e+00,9.053804863666790936e+00
3.900000000000000133e-01,0.000000000000000000e+00,-5.050759881423200204e-03,8.224509350503823590e-01,0.000000000000000000e+00,9.269636416311280769e+00
4.000000000000000222e-01,0.000000000000000000e+00,-4.917240622962329097e-03,8.217920361003681062e-01,0.000000000000000000e+00,6.515792490689142902e+00
4.100000000000000311e-01,0.000000000000000000e+00,-4.795156361969776272e-03,8.229323328737402354e-01,0.000000000000000000e+00,6.639481443393185245e+00
4.199999999999999845e-01,0.000000000000000000e+00,-5.999974195361415345e-03,8.238866731257258325e-01,2.768723428920422461e-02,6.696673633513651858e+00
